year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,Topics,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
2020,3,3,بيروت,Beirut,#كورونا #لبنان | #كورونا #كورونا_لبنان | فيروس كورونا | #خليك_بالبيت #كورونا_لبنان | #كورونا #خليك_بالبيت | انتشار | #Covid_19 #Corona,0.06565219572269933,209.0,246.0,40.0,381.0,108.0,48.0,62.0,248.0
2020,3,4,البقاع,Bekaa,#كورونا_لبنان #كورونا | #كورونا #لبنان | wash your hands | فيروس كورونا | #كورونا_لبنان #خليك_بالبيت | #Covid_19 #كورونا_لبنان | #الكلوروكين,0.06379575646034508,20.0,18.0,2.0,60.0,13.0,10.0,7.0,43.0
2020,3,5,جبل لبنان,Mount Lebanon,#كورونا #كورونا_لبنان | #خليك_بالبيت #كورونا_لبنان | وزارة الصحة | وزير الصحة | إصابة جديدة | حالة وفاة | مستشفى رفيق الحريري | التعبئة العامة,0.07693396497807986,285.0,281.0,32.0,507.0,172.0,81.0,107.0,349.0
2020,3,6,نبطية,Nabatiyeh,#كورونا #لبنان | انتشار | #كورونا #كورونا_لبنان | #خليك_بالبيت #كورونا_لبنان | new cases | #كورونا_لبنان #COVIDー19 | وزارة الصحة | فيروس #كورونا | #كورونا_في_الكويت #كورونا_مصر | وزير الصحة | #كورونا_العراق #كورونا_البحرين | انتشار كورونا | #كورونا_المستجد #كورونا_في_الكويت #كورونا_مصر | #كورونا_مصر #كورونا_لبنان #كورونا_العراق,0.07848936753680895,29.0,37.0,3.0,53.0,11.0,11.0,15.0,34.0
2020,3,7,الشمال,North,#كورونا #لبنان | #كورونا_لبنان #خليك_بالبيت | #Lebanon #Jordan | hiring! VACANCY | فيروس #كورونا | #لبنان #كورونا_لبنان | مستشفى رفيق الحريري | #Covid_19 #Corona,0.06485028766313165,148.0,150.0,23.0,237.0,65.0,49.0,66.0,198.0
2020,3,8,الجنوب,South,فيروس كورونا | #كورونا #لبنان | #كورونا #كورونا_لبنان | Medical Center | #كورونا_لبنان #خليك_بالبيت | #كورونا_فايروس #مدينة_صور | #مدينة_صور #جنوب_لبنان | #خليك_بالبيت #كورونا_لبنان | #ما_تستهتر #كورونا | healthcare system | حالة وفاة | #خليك_بالبيت #ما_تستهتر,0.0692539325805768,58.0,77.0,16.0,127.0,41.0,21.0,26.0,101.0
2020,4,1,عكار,Akkar,first Arab country | Lebanon | legalise medical marijuana | #لبنان #كورونا | medical marijuana legal | medical use in | economic,0.09908493660580225,27.0,33.0,6.0,79.0,27.0,7.0,7.0,45.0
2020,4,2,بعلبك - هرمل,Baalbak - Hermel,Syrians in lebanon | desperate for healthcare | million Syrians | Suffering in silence: | #كورونا #كورونا_لبنان | COVID-19,0.04089039113648745,25.0,53.0,3.0,105.0,17.0,10.0,6.0,49.0
2020,4,3,بيروت,Beirut,#كورونا #لبنان | #كورونا_لبنان #خليك_بالبيت | إصابة جديدة | medical cannabis | #لبنان #كورونا_لبنان | #خليك_بالبيت #خليك_في_البيت | الاصابات بفيروس | التعداد اليومي لعدد الاصابات | إصابات جديدة | Lebanon legalizes medical cannabis | cannabis production | #كورونا #لبنان_ينتفض,0.06937970150626085,104.0,158.0,27.0,253.0,74.0,41.0,30.0,142.0
2020,4,4,البقاع,Bekaa,فيروس كورونا | وزارة الصحة | #كورونا_لبنان #خليك_بالبيت | التعبئة العامة | الحكومة اللبنانية | COVID-19 | #بالوعي_نواجه_الكورونا | وباء كورونا.,0.0665377224284492,12.0,10.0,2.0,39.0,12.0,2.0,5.0,15.0
2020,4,5,جبل لبنان,Mount Lebanon,#كورونا #لبنان | #كورونا #كورونا_لبنان | إصابات جديدة | وزارة الصحة | #كورونا_لبنان #خليك_بالبيت | وزير الصحة | التعبئة العامة | #لبنان_ينتفض #كورونا_لبنان | Medical Marijuana,0.07464638368176742,185.0,168.0,21.0,301.0,163.0,62.0,39.0,196.0
2020,4,6,نبطية,Nabatiyeh,فيروس كورونا | التقرير اليومي | #كورونا #لبنان | #كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا | #كورونا_مصر #كورونا_لبنان | #كورونا_لبنان #كورونا_الاردن | #كورونا_مصر #كورونا_السعوديه | #كورونا_لبنان #كورونا_المغرب | أزمة #كورونا | #كورونا_المغرب #كورونا_الكويت | #كورونا_العراق #كورونا_البحرين | medical cannabis | The Medical School | #coronavirus #Covid_19,0.049249201776670276,31.0,25.0,1.0,46.0,7.0,8.0,7.0,18.0
2020,4,7,الشمال,North,#كورونا #لبنان | #كورونا #كورونا_لبنان | positive COVID-19 cases | #خليك_بالبيت\u2069 \u2067#كورونا_لبنان | #فيروس_كورونا #لبنان | الاصابات الى ارتفاع,0.07375263374175899,88.0,85.0,9.0,177.0,44.0,22.0,24.0,78.0
2020,4,8,الجنوب,South,#كورونا_فايروس #مدينة_صور #جنوب_لبنان | #خليك_بالبيت #كورونا | refugees | medical cannabis | #ما_تستهتر #كورونا | #COVID19 | #جنوب_لبنان #لبنان | medical supplies,0.06873784045739748,47.0,62.0,15.0,108.0,23.0,16.0,21.0,82.0
2020,5,1,عكار,Akkar,Healthcare Lebanon | #كورونا #لبنان | كورونا لا ترحم,0.10244417080207614,22.0,25.0,1.0,56.0,16.0,6.0,33.0,36.0
2020,5,2,بعلبك - هرمل,Baalbak - Hermel,#كورونا #كورونا_لبنان | healthcare | Medical Aid | medical marijuana | Aid for Palestinians | #خليك_بالبيت #خليك_في_البيت,0.08602950660249134,17.0,35.0,1.0,68.0,6.0,15.0,7.0,20.0
2020,5,3,بيروت,Beirut,#خليك_بالبيت #كورونا | #كورونا #كورونا_لبنان | وزارة الصحة | اصابة جديدة | #كورونا_لبنان #خليك_بالبيت | وزارة الصحة اللبنانية | بفيروس #كورونا_لبنان | الاصابات بفيروس #كورونا_لبنان | التعداد اليومي لعدد | #كورونا_لبنان #Covid_19 | #فيروس_كورونا #لبنان,0.056732441723970066,70.0,130.0,10.0,203.0,72.0,45.0,25.0,106.0
2020,5,4,البقاع,Bekaa,واقع خطير | الحكومة الجديدة | #كورونا #لبنان | #لبنان_ينتقض | ستتحمّل المسؤولية,0.0745422313805478,13.0,15.0,1.0,18.0,6.0,6.0,2.0,8.0
2020,5,5,جبل لبنان,Mount Lebanon,#كورونا #لبنان | إصابة جديدة | #فيروس_كورونا | #فيروس_كورونا في #لبنان | وزارة الصحة | الإصابات إلى ارتفاع | medical marijuana | #خليك_بالبيت #كورونا_لبنان | وزير الصحة | medical marijuana dispensary,0.06408872306160342,127.0,106.0,14.0,265.0,151.0,60.0,23.0,121.0
2020,5,6,نبطية,Nabatiyeh,#كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا | التقرير اليومي لكورونا | Palestinians in #Lebanon | healthcare for Palestinians | #كورونا #لبنان | #لبنان #كورونا_لبنان,0.06360315037173872,11.0,17.0,7.0,31.0,5.0,11.0,6.0,20.0
2020,5,7,الشمال,North,بفيروس كورونا | #كورونا #لبنان | total cases,0.05895169219523537,47.0,100.0,9.0,176.0,26.0,18.0,19.0,65.0
2020,5,8,الجنوب,South,Syrian refugees | #كورونا #لبنان | #كورونا #كورونا_لبنان | medical marijuana | #خليك_بالبيت #كورونا_لبنان | حسان دياب | #كورونا_فايروس #مدينة_صور | marijuana dispensary | #مدينة_صور #جنوب_لبنان | وزير الداخلية,0.03477069631121558,25.0,43.0,7.0,66.0,20.0,21.0,12.0,50.0
2020,6,1,عكار,Akkar,#كورونا #لبنان,0.05218040539247004,5.0,16.0,2.0,24.0,6.0,3.0,2.0,14.0
2020,6,2,بعلبك - هرمل,Baalbak - Hermel,#كورونا #كورونا_لبنان | Syrian refugees | #Covid_19 cases | #COVID19 #stayathome #staysafe,0.052009732778742,5.0,11.0,0.0,47.0,0.0,2.0,2.0,11.0
2020,6,3,بيروت,Beirut,#كورونا #لبنان | إصابة جديدة | #coronavirus #كورونا | التعداد اليومي | Benefits of Cannabis | Syrian refugees | كورونا#لبنان #كورونا,0.058240279340415015,22.0,68.0,17.0,79.0,26.0,14.0,10.0,40.0
2020,6,4,البقاع,Bekaa,#كورونا #لبنان_ينتقض | واقع خطير | تتحمّل المسؤولية | إنّ هذه الحكومة | الحكومة الجديدة,0.07971405523488859,4.0,3.0,0.0,11.0,9.0,0.0,2.0,8.0
2020,6,5,جبل لبنان,Mount Lebanon,إصابة جديدة | #كورونا #لبنان | #وزارة_الصحة | medical marijuana | اصابة جديدة,0.06835145541287593,41.0,38.0,3.0,115.0,84.0,23.0,6.0,44.0
2020,6,6,نبطية,Nabatiyeh,التقرير اليومي لكورونا | #كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا | #كورونا #لبنان,0.05233480698446518,2.0,2.0,0.0,18.0,2.0,0.0,1.0,6.0
2020,6,7,الشمال,North,إصابة جديدة | إجمالي الاصابات | فيروس كورونا | positive COVID-19 cases | daily report,0.05436143378668159,16.0,51.0,4.0,70.0,19.0,3.0,3.0,26.0
2020,6,8,الجنوب,South,#كورونا #لبنان | Syrian refugees | Benefits of Cannabis,0.09187208780767056,15.0,16.0,3.0,53.0,7.0,9.0,8.0,22.0
2020,7,1,عكار,Akkar,Healthcare Lebanon | #كورونا #لبنان,0.03724399950557875,11.0,15.0,2.0,23.0,4.0,4.0,0.0,20.0
2020,7,2,بعلبك - هرمل,Baalbak - Hermel,#كورونا #كورونا_لبنان | إصابة جديدة | #Covid_19 cases,0.08434437661114011,6.0,22.0,2.0,37.0,7.0,4.0,6.0,13.0
2020,7,3,بيروت,Beirut,#كورونا #لبنان | إصابة جديدة | فيروس كورونا,0.061090724967404794,34.0,65.0,15.0,143.0,12.0,19.0,10.0,55.0
2020,7,4,البقاع,Bekaa,#كورونا #لبنان | واقع خطير | ستتحمّل المسؤولية | الحكومة الجديدة | #كورونا #لبنان_ينتقض,0.0661973497106992,5.0,8.0,1.0,13.0,6.0,0.0,3.0,3.0
2020,7,5,جبل لبنان,Mount Lebanon,#كورونا #لبنان | Legalize Medical Marijuana | Syrian refugee | إصابة جديدة,0.05812904988739773,31.0,67.0,6.0,170.0,40.0,19.0,14.0,39.0
2020,7,6,نبطية,Nabatiyeh,فيروس كورونا | التقرير اليومي,0.05916895688199525,4.0,3.0,1.0,20.0,1.0,3.0,1.0,4.0
2020,7,7,الشمال,North,بفيروس كورونا | #كورونا #لبنان | وزارة الصحة | إصابة جديدة | من المقيمين والوافدين,0.05976373292784392,19.0,40.0,3.0,69.0,15.0,4.0,5.0,20.0
2020,7,8,الجنوب,South,إصابة جديدة | فيروس #كورونا | وزارة الصحة | مشكلة كورونا,0.05390262474670723,13.0,17.0,1.0,62.0,19.0,8.0,8.0,30.0
2020,8,1,عكار,Akkar,كورونا كورونا_لبنان | medical supplies | beirut lebanon | إصابات كورونا | economical crisis | emergency medical support,0.008972203897275976,12.0,2.0,0.0,18.0,5.0,5.0,1.0,13.0
2020,8,2,بعلبك - هرمل,Baalbak - Hermel,كورونا كورونا_لبنان | #كورونا_لبنان_سبسيال | record breaking day | foodbanks medical charities,0.041686708353375006,5.0,6.0,0.0,20.0,2.0,1.0,3.0,6.0
2020,8,3,بيروت,Beirut,medical supplies | كورونا لبنان | medical relief | beirut lebanon | medical aid | emergency medical | beirut explosion | لبنان بيروت | help lebanon,0.030412529749962263,66.0,77.0,17.0,323.0,53.0,23.0,47.0,132.0
2020,8,4,البقاع,Bekaa,medical supplies | كورونا كورونا_لبنان | كلن_يعني_كلن كورونا_لبنان | lebanon relief | lebanon beirutblast | كورونا_لبنان لبنان_ينتفض حكام_العار | كلن_يعني_كلن كورونا_لبنان انفجار_المرفأ,0.05801448931658487,9.0,7.0,0.0,20.0,7.0,4.0,0.0,9.0
2020,8,5,جبل لبنان,Mount Lebanon,كورونا لبنان | medical aid | aid lebanon | medical supplies | كورونا كورونا_لبنان,0.04356526362789106,79.0,90.0,6.0,232.0,61.0,19.0,22.0,128.0
2020,8,6,نبطية,Nabatiyeh,كورونا لبنان,0.0405719323838813,13.0,19.0,1.0,23.0,8.0,2.0,1.0,10.0
2020,8,7,الشمال,North,كورونا كورونا_لبنان | beirut lebanon | conference support lebanon,0.051187065291118036,19.0,19.0,1.0,60.0,18.0,7.0,3.0,31.0
2020,8,8,الجنوب,South,كورونا لبنان | medical supplies | وزارة الصحة | medical assistance | medical supplies lebanon | معا_نعزل_كورونا لبنان,0.08415808022138999,13.0,22.0,0.0,62.0,19.0,5.0,10.0,27.0
2020,9,1,عكار,Akkar,#وعيك_امانه | كورونا سجن_رومية,0.08796897546897545,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2020,9,2,بعلبك - هرمل,Baalbak - Hermel,كورونا كورونا_لبنان,0.04978941197691199,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
2020,9,3,بيروت,Beirut,كورونا كورونا_لبنان | لبنان بيروت | وزارة الصحة,0.04951662599771842,18.0,20.0,3.0,41.0,17.0,4.0,11.0,27.0
2020,9,4,البقاع,Bekaa,الكمامة أكسسوار مراية | مراية السيارة كورونا_لبنان,0.1167990491651206,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0
2020,9,5,جبل لبنان,Mount Lebanon,كورونا لبنان | وزارة الصحة | حالات وفاة | إصابات جديدة | خليك_بالبيت وطنك_بيتك,0.07686141503595778,6.0,8.0,3.0,25.0,21.0,3.0,2.0,7.0
2020,9,6,نبطية,Nabatiyeh,covid cases | كورونا لبنان | التعليم إجراءات الوقاية | غلطة المستهتر إصابة,0.1077292663476874,1.0,7.0,0.0,7.0,1.0,1.0,0.0,1.0
2020,9,7,الشمال,North,كورونا كورونا_لبنان | الوقاية_ثم_الوقاية_ثم_الوقاية كورونا,0.07960564495890585,3.0,9.0,0.0,7.0,2.0,0.0,0.0,1.0
2020,9,8,الجنوب,South,كورونا لبنان | وزارة الصحة | معا_نعزل_كورونا | إصابات جديدة | طرابلس كورونا لبنان,0.05530901116427431,8.0,2.0,0.0,7.0,3.0,1.0,0.0,3.0
